n,trial,seed,k,m,oracle_time_sec,integrated_time_sec,speedup_vs_oracle,objective_error,relative_gap,converged,simplex_residual,exposure_violation,outer_iterations,inner_iterations,breakpoint_events
700,6,720260710,35,8,4.156604599906132,3.3014118999708444,1.2590384737944513,2.4297092116043473e-10,2.4297092116043473e-10,True,2.220446049250313e-16,0.0,3,216,51260
700,7,720260711,35,8,4.049244599882513,3.100992300081998,1.30578995625866,1.0063717637009972e-09,1.0063717637009972e-09,True,0.0,0.0,3,214,47307
700,8,720260712,35,8,4.4342360000591725,4.275382799794897,1.0371553163080265,9.264838618516791e-10,9.264838618516791e-10,True,1.1102230246251565e-16,0.0,3,229,66993
700,9,720260713,35,8,4.236404699971899,2.748733199900016,1.5412207703992502,6.278725317443445e-10,6.278725317443445e-10,True,1.7763568394002505e-15,0.0,4,187,36832
1000,0,1020260704,50,8,7.307860099943355,3.001508800080046,2.434728860281357,2.6281429255092803e-09,2.6281429255092803e-09,True,9.325873406851315e-15,0.0,3,186,42225
1000,1,1020260705,50,8,6.439888200024143,5.8301099999807775,1.104591199830771,1.7404487018257697e-09,1.7404487018257697e-09,True,0.0,0.0,3,297,105428
1000,2,1020260706,50,8,6.903347100131214,4.528074699919671,1.5245656393993856,6.678528563508479e-10,6.678528563508479e-10,True,0.0,0.0,3,218,78254
1000,3,1020260707,50,8,7.201530799968168,4.821010299958289,1.4937804219232793,1.8129838880165394e-09,1.8129838880165394e-09,True,0.0,0.0,3,199,84009
1000,4,1020260708,50,8,7.2623107000254095,5.028949199942872,1.444101026136416,4.615508530925183e-10,4.615508530925183e-10,True,1.1102230246251565e-16,0.0,3,238,83067
1000,5,1020260709,50,8,7.8359367998782545,4.198448299895972,1.8663887798909924,6.079020620219922e-10,6.079020620219922e-10,True,0.0,0.0,3,199,67151
1000,6,1020260710,50,8,7.438979099970311,5.497883600182831,1.3530623128730714,6.130118634928294e-10,6.130118634928294e-10,True,0.0,0.0,3,234,94655
1000,7,1020260711,50,8,7.323424099944532,4.840616999892518,1.5129112879839786,9.297584924183866e-10,9.297584924183866e-10,True,7.327471962526033e-15,0.0,3,213,71111
1000,8,1020260712,50,8,7.2733942999038845,6.118201199918985,1.1888125385612025,1.7738313456971966e-09,1.7738313456971966e-09,True,2.220446049250313e-16,0.0,3,270,100927
1000,9,1020260713,50,8,7.365820199949667,7.639118899824098,0.9642237928930882,1.1485344342254677e-09,1.1485344342254677e-09,True,1.1102230246251565e-16,0.0,3,260,103065
1500,0,1520260704,75,8,15.519133599940687,5.957503200042993,2.6049727677575887,3.9655851935549435e-09,3.9655851935549435e-09,True,1.0658141036401503e-14,0.0,3,192,79335
1500,1,1520260705,75,8,14.633706299820915,8.092591800028458,1.8082842507599919,5.751590939628848e-10,5.751590939628848e-10,True,0.0,0.0,3,235,121493
1500,2,1520260706,75,8,16.09226409997791,5.186803899938241,3.1025395234567323,5.256927115837584e-10,5.256927115837584e-10,True,1.1102230246251565e-16,0.0,3,186,74062
1500,3,1520260707,75,8,14.52556429989636,8.360745700076222,1.7373527219903284,8.115194766178391e-10,8.115194766178391e-10,True,0.0,0.0,3,231,134575
1500,4,1520260708,75,8,14.03198239998892,9.350351100089028,1.5006904286038323,7.579571137394936e-10,7.579571137394936e-10,True,0.0,0.0,3,203,122606
1500,5,1520260709,75,8,15.614646499976516,5.858483500080183,2.665305193701203,1.1054937520960095e-09,1.1054937520960095e-09,True,0.0,0.0,3,205,70550
1500,6,1520260710,75,8,15.64586539985612,8.412681199843064,1.8597953527762336,3.893440084223876e-10,3.893440084223876e-10,True,0.0,0.0,3,170,115530
1500,7,1520260711,75,8,15.684078800026327,8.54461620002985,1.8355509987647587,4.737725212144994e-10,4.737725212144994e-10,True,0.0,0.0,3,197,94858
1500,8,1520260712,75,8,15.997329900041223,7.66055199992843,2.0882737823841784,1.5172927636530886e-09,1.5172927636530886e-09,True,0.0,0.0,3,202,116734
1500,9,1520260713,75,8,16.508708300068974,8.921985100023448,1.8503402678878702,6.361575155544585e-10,6.361575155544585e-10,True,0.0,0.0,3,205,142567
2200,0,2220260704,110,8,35.99854849977419,14.323076599976048,2.513325139923806,3.8044700723105507e-10,3.8044700723105507e-10,True,0.0,0.0,3,230,172417
